GeneID	LOG_count	WT0_count	LOG_rpkm	WT0_rpkm	log2_Ratio(WT0/LOG)	Pvalue	FDR	significant
Unigene0003219	47	75	4.3766	6.9519	0.667596795	0.014464906	0.035499	no
Unigene0003220	84	149	9.4722	16.7246	0.820200258	2.74E-05	0.000113094	no
Unigene0003221	309	221	10.3358	7.3583	-0.490205657	0.00013112	0.00049035	no
Unigene0003222	51	126	6.4001	15.7392	1.298195861	1.89E-08	1.09E-07	yes
Unigene0003223	40	24	5.7312	3.4229	-0.743618098	0.060348993	0.123000855	no
Unigene0003224	39	56	5.4475	7.7861	0.515306583	0.100978561	0.189412209	no
Unigene0003225	4	4	0.7513	0.7478	-0.006736631	1	1	no
Unigene0003226	389	186	49.2609	23.4458	-1.07111348	2.23E-17	2.19E-16	yes
Unigene0003227	16	14	3.8175	3.325	-0.199273816	0.855643781	0.971416839	no
Unigene0003228	595	316	103.3675	54.6454	-0.919610695	5.75E-20	6.29E-19	no
Unigene0003229	74	49	13.444	8.8612	-0.601388458	0.030552313	0.068606458	no
Unigene0003230	9	364	0.3418	13.7587	5.331047955	1.56E-93	6.45E-92	yes
Unigene0003231	0	1	0.001	0.0961	6.586464526	1	1	no
Unigene0003232	1857	3585	68.9616	132.5207	0.942352577	2.61E-99	1.15E-97	no
Unigene0003233	7028	6484	211.6494	194.3693	-0.122876031	0.000135091	0.000504525	no
Unigene0003234	332	535	17.8844	28.6874	0.681715501	2.38E-11	1.71E-10	no
Unigene0003235	10	7	1.8168	1.2659	-0.521236168	0.629207129	0.781563131	no
Unigene0003236	13	19	2.8121	4.0911	0.540840903	0.377469428	0.542869683	no
Unigene0003237	37	21	8.7903	4.9661	-0.823799091	0.048262353	0.101254991	no
Unigene0003238	2	5	0.4576	1.1386	1.315102048	0.453207015	0.62434186	no
Unigene0003239	163	104	6.4772	4.1137	-0.654933705	0.000401298	0.00138902	no
Unigene0003240	413	426	10.2499	10.5239	0.03805961	0.735223961	0.8750495	no
Unigene0003241	362	211	16.5634	9.61	-0.785390512	3.00E-10	2.00E-09	no
Unigene0003242	2667	4211	31.8371	50.0375	0.652300782	3.06E-58	8.29E-57	no
Unigene0003243	1600	1359	26.7674	22.6311	-0.242170303	2.22E-05	9.28E-05	no
Unigene0003244	245	250	5.3538	5.438	0.022512906	0.929252382	1	no
Unigene0003245	723	163	26.5128	5.9498	-2.155775962	3.58E-82	1.33E-80	yes
Unigene0003246	3077	2746	152.8672	135.7959	-0.170838966	7.38E-05	0.000286818	no
Unigene0003247	17	602	0.53	18.6836	5.139636294	4.60E-150	3.11E-148	yes
Unigene0003248	2290	628	88.9016	24.2679	-1.873160112	1.34E-195	1.18E-193	yes
Unigene0003249	288	184	10.8916	6.9265	-0.653017465	2.08E-06	9.87E-06	no
Unigene0003250	70	50	6.3071	4.4844	-0.492061838	0.083326115	0.160554196	no
Unigene0003251	85	35	7.0214	2.8779	-1.286742256	6.10E-06	2.75E-05	yes
Unigene0003252	595	365	10.2662	6.2688	-0.711641064	2.49E-13	2.02E-12	no
Unigene0003254	529	243	11.0351	5.0457	-1.128973367	1.04E-24	1.36E-23	yes
Unigene0003255	971	797	45.2097	36.9377	-0.291538308	5.38E-05	0.000213959	no
Unigene0003257	22	1787	0.8214	66.4119	6.337213016	0	0	yes
Unigene0003258	0	39	0.001	6.3662	12.63621677	3.78E-12	2.85E-11	yes
Unigene0003259	91	156	5.8417	9.9683	0.770959217	4.71E-05	0.000188556	no
Unigene0003260	410	493	15.9503	19.0911	0.259316672	0.009170907	0.023759277	no
