id	R0_count	R3_count	R0_fpkm	R3_fpkm	log2FC	Pvalue	FDR	significant
OS01T0100100-01	234	199	2.9	2.66	-0.124626655	0.365789357	0.524535856	no
OS01T0100200-01	21	31	0.8	1.28	0.678071905	0.126839251	0.222003795	no
OS01T0100300-00	1	0	0.06	0.001	-5.906890596	1	1	no
OS01T0100400-01	56	123	0.98	2.31	1.237039197	3.93E-08	2.25E-07	up
OS01T0100466-00	0	2	0.001	0.09	6.491853096	0.500024999	0.653216704	no
OS01T0100500-01	323	412	5.46	7.5	0.457989644	3.60E-05	0.00014463	no
OS01T0100600-01	95	83	1.85	1.75	-0.080170349	0.709182153	0.849088714	no
OS01T0100700-01	1725	1569	88.44	87.34	-0.018056494	0.55543908	0.709069067	no
OS01T0100800-01	138	144	3.62	4.08	0.172579455	0.375107583	0.533126894	no
OS01T0100900-01	970	1264	19.98	28.09	0.491500041	5.03E-14	4.49E-13	no
OS01T0101150-00	3	10	0.05	0.16	1.678071905	0.09238989	0.172769786	no
OS01T0101200-01	630	1274	22.09	48.34	1.129824054	1.08E-55	3.48E-54	up
OS01T0101200-02	581	1115	6.75	13.95	1.047305715	2.84E-44	7.26E-43	up
OS01T0101300-01	122	52	2.47	1.14	-1.115477217	1.32E-06	6.40E-06	down
OS01T0101600-01	703	596	5.86	5.35	-0.131361773	0.106378872	0.194895069	no
OS01T0101600-02	711	578	6.84	5.98	-0.193850841	0.020105104	0.046654188	no
OS01T0101600-03	243	167	5.38	3.99	-0.431217426	0.003263959	0.00928875	no
OS01T0101700-00	40	47	2.14	2.73	0.351290155	0.284653957	0.428870792	no
OS01T0101800-01	12	9	0.19	0.16	-0.247927513	0.663791876	0.809893368	no
OS01T0102000-01	113	72	2.6	1.79	-0.538552036	0.015217066	0.036611892	no
OS01T0102300-01	429	888	19.99	44.87	1.166472712	3.41E-42	8.28E-41	up
OS01T0102400-01	0	3	0.001	0.09	6.491853096	0.250037498	0.384983395	no
OS01T0102500-01	198	93	4.35	2.2	-0.983511877	3.04E-08	1.76E-07	no
OS01T0102600-01	845	1136	32.4	47.17	0.541875788	7.92E-15	7.46E-14	no
OS01T0102600-02	52	119	9.28	23.66	1.350253363	3.16E-08	1.82E-07	up
OS01T0102700-01	488	388	24.12	20.82	-0.212259839	0.026468966	0.059411304	no
OS01T0102800-01	123	172	1.49	2.25	0.594612671	0.000638267	0.002089767	no
OS01T0102850-00	5	2	0.34	0.15	-1.180572246	0.453207015	0.617978769	no
OS01T0102900-01	31892	26908	2692.71	2483.24	-0.116835161	2.28E-09	1.47E-08	no
OS01T0103000-01	102	108	4.46	5.12	0.1991001	0.37221269	0.532330479	no
OS01T0103075-00	13	14	0.32	0.37	0.209453366	1	1	no
OS01T0103100-01	93	137	1.83	2.91	0.669175505	0.000637159	0.00208657	no
OS01T0103100-02	95	130	1.89	2.79	0.561878888	0.005244955	0.014223153	no
OS01T0103400-01	29	49	2.53	4.67	0.884285165	0.012988513	0.031723168	no
OS01T0103600-01	202	213	2.17	2.47	0.186815999	0.225017943	0.359109527	no
OS01T0103600-02	268	187	12.74	9.64	-0.402260226	0.002901228	0.008350671	no
OS01T0103650-00	0	1	0.001	0.05	5.64385619	1	1	no
OS01T0103700-01	29	60	0.3	0.66	1.137503524	0.00045085	0.00151698	up
OS01T0103800-01	601	539	10.58	10.24	-0.047123912	0.564350945	0.71858576	no
OS01T0103900-01	8	13	0.14	0.24	0.777607579	0.383562455	0.54259078	no
OS01T0104000-01	355	315	6.52	6.24	-0.063325935	0.568691325	0.723296797	no
OS01T0104000-02	332	278	6.18	5.58	-0.147341716	0.201418782	0.328589806	no
OS01T0104100-01	445	306	10.67	7.92	-0.429987841	6.55E-05	0.000253534	no
OS01T0104100-02	443	297	11.01	7.97	-0.46616284	1.89E-05	7.90E-05	no
OS01T0104200-00	14	31	0.61	1.46	1.259087221	0.006668724	0.017609871	up
OS01T0104400-01	2185	2233	64.07	70.78	0.143692771	0.005027445	0.013691043	no
OS01T0104400-02	2306	2170	79.59	81.04	0.026046998	0.745327518	0.880101052	no
OS01T0104400-03	1918	1844	76.28	79.44	0.058560779	0.366571731	0.525578315	no
OS01T0104500-01	0	5	0.001	0.15	7.22881869	0.062531251	0.123993256	no
OS01T0104600-01	258	187	4.62	3.61	-0.355894015	0.011072777	0.027668728	no
OS01T0104600-02	244	181	5.22	4.18	-0.320546864	0.023783322	0.053961882	no
OS01T0104800-01	165	137	2.97	2.66	-0.159036685	0.360024293	0.518416181	no
OS01T0104800-02	56	66	1.49	1.9	0.350687088	0.240519229	0.378851135	no
OS01T0104900-01	296	267	6.76	6.58	-0.038935663	0.739537582	0.874832344	no
OS01T0104900-02	80	48	2.99	1.94	-0.624088832	0.021083669	0.048687842	no
OS01T0105300-01	17	4	0.26	0.07	-1.893084796	0.007226519	0.01892791	down
OS01T0105400-01	318	294	6.24	6.22	-0.004631449	0.968242836	1	no
OS01T0105700-01	0	8	0.001	0.23	7.845490051	0.007823441	0.020244312	up
OS01T0105800-01	30	65	1.73	4.07	1.234256757	0.000137099	0.000503169	up
OS01T0105900-01	1681	1343	43.25	37.32	-0.212751147	0.000104663	0.000391704	no
OS01T0106200-01	744	579	36.13	30.51	-0.243915075	0.001802421	0.005417428	no
OS01T0106300-01	4072	2000	135.87	72.19	-0.912356036	3.51E-102	2.35E-100	no
OS01T0106400-01	1891	2292	66.23	86.87	0.391373179	8.27E-15	7.78E-14	no
OS01T0106500-01	465	308	21.88	15.72	-0.477011521	4.82E-06	2.18E-05	no
OS01T0106600-01	256	158	11.11	7.44	-0.57848429	6.16E-05	0.00023894	no
OS01T0106700-00	75	102	0.35	0.51	0.543142325	0.016386698	0.038943965	no
OS01T0106800-01	561	685	40.29	53.63	0.412618448	3.86E-06	1.77E-05	no
OS01T0106900-01	1022	801	20.67	17.48	-0.241833204	0.000542006	0.001797177	no
OS01T0106900-02	867	656	20.01	16.34	-0.292313184	0.000112374	0.000418942	no
OS01T0107000-01	291	387	6.41	9.2	0.521309504	6.82E-06	3.03E-05	no
OS01T0107000-02	340	434	8.77	12.09	0.463165497	1.95E-05	8.15E-05	no
OS01T0107400-01	8	2	1.12	0.31	-1.853158612	0.109462886	0.199198681	no
OS01T0107700-01	31	32	0.58	0.65	0.164386818	0.801613761	0.928238948	no
OS01T0107750-00	0	1	0.001	0.02	4.321928095	1	1	no
OS01T0107900-01	1075	876	16.8	14.76	-0.186768512	0.00562978	0.01515924	no
OS01T0107900-02	321	270	11.65	10.61	-0.134905299	0.239295844	0.377162122	no
OS01T0108000-01	341	247	4.87	3.8	-0.357922354	0.003363079	0.0095462	no
OS01T0108200-01	158	153	2.5	2.61	0.062121712	0.735716742	0.871632693	no
OS01T0108400-00	23	4	1.49	0.28	-2.411813598	0.000537698	0.001783765	down
OS01T0108500-00	1	0	0.04	0.001	-5.321928095	1	1	no
OS01T0108600-01	378	243	13.84	9.63	-0.52323624	8.77E-06	3.84E-05	no
OS01T0108600-02	388	322	13.93	12.51	-0.155113468	0.139806625	0.241738549	no
OS01T0108800-01	15	22	0.24	0.37	0.624490865	0.188150125	0.30996083	no
OS01T0109000-01	81	65	2.24	1.94	-0.20744208	0.408064852	0.569607035	no
OS01T0109201-01	0	2	0.001	0.04	5.321928095	0.500024999	0.653216704	no
OS01T0109300-01	144	166	2.78	3.46	0.315687155	0.071588497	0.138677129	no
OS01T0109432-00	1	1	0.1	0.11	0.137503524	1	1	no
OS01T0109500-01	5	0	0.17	0.001	-7.409390936	0.062531251	0.123993256	no
OS01T0109700-01	2135	1551	16.42	12.84	-0.354808925	6.95E-12	5.42E-11	no
OS01T0109750-01	342	196	15.84	9.85	-0.685376706	6.62E-08	3.70E-07	no
OS01T0110050-01	0	3	0.001	0.09	6.491853096	0.250037498	0.384983395	no
OS01T0110100-01	13	35	0.17	0.5	1.556393349	0.000727566	0.002357086	up
OS01T0110200-01	371	223	17.31	11.29	-0.616560239	2.94E-07	1.54E-06	no
OS01T0110400-01	873	565	22.31	15.59	-0.517069586	6.68E-11	4.86E-10	no
OS01T0110500-01	140	188	1.64	2.38	0.537265759	0.00147648	0.004510659	no
OS01T0110700-01	13	17	0.14	0.19	0.440572591	0.361956807	0.519873097	no
OS01T0110700-02	7	11	0.11	0.18	0.710493383	0.480882571	0.647212811	no
OS01T0110800-01	199	309	3.89	6.52	0.745101809	2.37E-08	1.39E-07	no
OS01T0111100-01	630	1241	24.3	51.83	1.09283108	2.34E-51	6.96E-50	up
OS01T0111200-01	1417	1352	22.42	23.06	0.040606235	0.549176362	0.702242745	no
OS01T0111300-01	9	14	0.56	0.94	0.74723393	0.405145484	0.566204961	no
OS01T0111400-01	195	75	2.81	1.17	-1.264061601	1.94E-11	1.47E-10	down
OS01T0111400-02	119	61	1.69	0.93	-0.861720625	0.000181208	0.000651987	no
OS01T0111500-01	1	0	0.03	0.001	-4.906890596	1	1	no
OS01T0111700-01	69	16	3.34	0.84	-1.99138687	3.72E-08	2.13E-07	down
OS01T0111800-01	384	368	47.56	50.22	0.078513314	0.720190798	0.859201618	no
OS01T0111800-02	403	297	35.38	28.52	-0.310960066	0.003258612	0.009277429	no
OS01T0111900-01	2421	1687	104.97	79.29	-0.40476624	5.21E-17	5.52E-16	no
OS01T0112000-01	13	34	1.1	3.14	1.513261035	0.001102894	0.003449106	up
OS01T0112100-01	26	12	0.25	0.12	-1.058893689	0.073222283	0.141433131	no
OS01T0112300-01	130	143	2.51	2.98	0.247624967	0.185897013	0.306675111	no
OS01T0112400-01	0	2	0.001	0.09	6.491853096	0.500024999	0.653216704	no
OS01T0112500-01	623	679	17.57	20.69	0.235819454	0.006158429	0.016430677	no
OS01T0112500-02	280	295	15.88	18.18	0.195141287	0.162068209	0.274154115	no
OS01T0112600-01	241	7	25.39	0.81	-4.970194677	1.88E-57	6.31E-56	down
OS01T0113000-00	7	5	0.07	0.05	-0.485426827	0.77448171	0.904205546	no
OS01T0113200-01	134	79	2.64	1.68	-0.652076697	0.001267592	0.003925859	no
OS01T0113300-01	146	50	2.44	0.9	-1.438884241	1.72E-10	1.21E-09	down
OS01T0113350-00	10	28	0.17	0.51	1.584962501	0.001674441	0.005057768	up
OS01T0113400-01	83	40	1.15	0.59	-0.962847002	0.000768476	0.002479795	no
OS01T0113400-02	15	6	0.44	0.19	-1.211504105	0.078509136	0.150062734	no
OS01T0113450-00	2	2	0.04	0.04	0	1	1	no
OS01T0113500-01	5	6	0.07	0.09	0.362570079	1	1	no
OS01T0113600-01	18	9	1.5	0.82	-0.871266686	0.168914476	0.283822038	no
OS01T0113600-02	20	18	0.36	0.35	-0.040641984	1	1	no
OS01T0113650-00	55	24	1.05	0.5	-1.070389328	0.002071822	0.006138842	down
OS01T0113700-00	48	40	0.87	0.79	-0.139162748	0.749862201	0.884354843	no
OS01T0113800-01	90	31	1.39	0.52	-1.418501355	9.33E-07	4.63E-06	down
OS01T0113900-01	28	28	0.48	0.52	0.115477217	0.894001393	1	no
OS01T0114000-00	1	0	0.08	0.001	-6.321928095	1	1	no
OS01T0114100-01	321	202	5.38	3.65	-0.559709709	1.44E-05	6.11E-05	no
OS01T0114200-01	12	1	0.68	0.06	-3.502500341	0.003427498	0.009701187	down
OS01T0114300-01	227	80	2.4	0.91	-1.399095955	5.26E-15	5.00E-14	down
OS01T0114600-00	4	13	0.07	0.25	1.836501268	0.049136186	0.101334036	no
OS01T0114700-00	0	1	0.001	0.02	4.321928095	1	1	no
OS01T0114800-01	22	34	0.52	0.86	0.725825037	0.081852025	0.155460503	no
OS01T0115100-01	0	7	0.001	0.22	7.781359714	0.01564141	0.037361826	up
OS01T0115200-00	1	1	0.16	0.17	0.087462841	1	1	no
OS01T0115300-01	0	1	0.001	0.02	4.321928095	1	1	no
OS01T0115500-00	4	2	0.17	0.09	-0.91753784	0.687546866	0.829234845	no
OS01T0115566-00	14	16	0.93	1.16	0.318822184	0.584948842	0.73866553	no
OS01T0115600-01	175	132	3.33	2.71	-0.297229326	0.078444378	0.150062734	no
OS01T0115700-00	23	3	0.47	0.07	-2.74723393	0.000157883	0.000573548	down
OS01T0115725-00	3	5	0.05	0.1	1	0.726617172	0.863273111	no
OS01T0115750-00	31	18	0.56	0.35	-0.678071905	0.152909793	0.260473317	no
OS01T0115800-01	150	87	2.24	1.4	-0.678071905	0.000574401	0.001895184	no
OS01T0115900-00	65	67	0.72	0.8	0.152003093	0.664624852	0.810638588	no
OS01T0115950-00	2	2	0.04	0.04	0	1	1	no
OS01T0116000-00	1	2	0.02	0.04	1	1	1	no
OS01T0116100-01	12	9	1.16	0.96	-0.273018494	0.663791876	0.809893368	no
OS01T0116200-01	4	0	0.07	0.001	-6.129283017	0.125037499	0.219498867	no
OS01T0116300-01	4	0	0.07	0.001	-6.129283017	0.125037499	0.219498867	no
OS01T0116400-01	210	163	3.45	2.89	-0.255526869	0.089882804	0.168967559	no
OS01T0116600-01	234	91	3.91	1.64	-1.253472793	2.01E-13	1.73E-12	down
OS01T0116600-02	163	61	4	1.62	-1.304006187	2.92E-10	2.02E-09	down
OS01T0116650-00	2	1	0.03	0.02	-0.584962501	1	1	no
OS01T0116800-00	4	0	0.15	0.001	-7.22881869	0.125037499	0.219498867	no
OS01T0116900-00	80	86	2.06	2.39	0.214366281	0.395258108	0.555227367	no
OS01T0117000-00	64	44	1.08	0.8	-0.432959407	0.149671092	0.255838477	no
OS01T0117025-00	1	1	0.02	0.02	0	1	1	no
OS01T0117100-00	25	7	0.69	0.21	-1.716207034	0.003350451	0.009513773	down
OS01T0117200-01	122	29	1.94	0.5	-1.956056652	2.84E-13	2.42E-12	down
OS01T0117266-00	11	3	1.88	0.57	-1.721698838	0.05745859	0.116158879	no
OS01T0117300-00	62	24	1.96	0.82	-1.257157839	0.000192619	0.00068975	down
OS01T0117400-00	16	7	1.45	0.7	-1.050626073	0.093326679	0.17409601	no
OS01T0117600-01	256	218	4.04	3.71	-0.122936106	0.363410193	0.521597278	no
OS01T0117650-00	2	0	0.04	0.001	-5.321928095	0.500024999	0.653216704	no
OS01T0117700-00	19	4	0.38	0.09	-2.078002512	0.004363941	0.012046175	down
OS01T0117900-01	1089	852	46.31	39.27	-0.237896159	0.000313814	0.001085227	no
OS01T0117900-02	2431	1799	72.64	58.11	-0.321977748	1.75E-11	1.32E-10	no
OS01T0117900-03	1913	1429	68.59	55.46	-0.306550639	5.28E-09	3.28E-08	no
OS01T0118000-01	561	532	16.01	16.41	0.035601931	0.790865048	0.918730733	no
OS01T0118100-01	323	243	4.14	3.36	-0.301169535	0.014207872	0.034391403	no
OS01T0118300-01	8	18	0.1	0.24	1.263034406	0.052396163	0.107301279	no
OS01T0118400-01	1310	526	23.48	10.17	-1.207112729	4.46E-60	1.57E-58	down
OS01T0118600-00	21	17	0.49	0.43	-0.188445089	0.871536665	0.98703676	no
OS01T0118700-01	1334	551	24.2	10.78	-1.166649869	7.51E-58	2.54E-56	down
OS01T0119000-01	43	28	0.93	0.65	-0.516790998	0.154642811	0.262962637	no
OS01T0119000-02	49	27	1.14	0.68	-0.745427173	0.037307627	0.079928786	no
OS01T0119100-00	446	268	9.95	6.45	-0.625397365	1.87E-08	1.10E-07	no
OS01T0119500-01	472	348	9.77	7.77	-0.330443964	0.001420852	0.004357614	no
OS01T0120300-00	314	427	4.51	6.6	0.549338591	6.18E-07	3.13E-06	no
OS01T0120400-01	53	64	1.91	2.5	0.388355457	0.19665391	0.321870302	no
OS01T0120400-02	42	52	1.51	2.02	0.419806743	0.180686641	0.299538157	no
OS01T0120500-01	546	619	24.88	30.59	0.298073621	0.001169222	0.003639498	no
OS01T0120600-01	79	26	2.35	0.84	-1.484199524	1.03E-06	5.09E-06	down
OS01T0120700-01	768	697	15.82	15.49	-0.030412456	0.668025646	0.813614821	no
OS01T0120800-01	1667	1521	17.5	17.2	-0.024946357	0.617873923	0.771555124	no
OS01T0120800-02	324	262	19.69	17.32	-0.185024181	0.102988346	0.189613534	no
OS01T0120800-03	1160	1015	15.81	14.91	-0.08455711	0.180122179	0.298759043	no
OS01T0120800-04	625	563	10.82	10.51	-0.04193783	0.611749991	0.765074631	no
OS01T0120800-05	495	432	9.96	9.38	-0.08655782	0.351510893	0.508447639	no
OS01T0120800-06	656	579	24.87	23.77	-0.065264604	0.391757261	0.551324024	no
OS01T0121000-01	15	27	0.87	1.7	0.96644744	0.043777388	0.091548401	no
OS01T0121100-01	408	239	17.09	10.85	-0.655457354	1.62E-08	9.62E-08	no
OS01T0121100-02	1057	629	33.42	21.51	-0.635704209	5.49E-18	6.07E-17	no
OS01T0121200-01	104	106	3.02	3.33	0.140973628	0.536794609	0.690899092	no
OS01T0121300-01	459	214	8.49	4.27	-0.991528484	2.99E-17	3.21E-16	no
OS01T0121400-00	4	0	0.09	0.001	-6.491853096	0.125037499	0.219498867	no
OS01T0121500-01	288	45	25.62	4.38	-2.548267701	2.06E-40	4.83E-39	down
OS01T0121600-01	1751	813	117.36	59.35	-0.983620841	2.25E-57	7.54E-56	no
OS01T0121700-01	1235	1177	18.52	19.03	0.039191463	0.593030501	0.747140297	no
OS01T0121800-01	361	254	7.79	5.91	-0.398465198	0.000817383	0.002628494	no
OS01T0121800-02	53	52	2.83	3.02	0.093746496	0.845770805	0.965022698	no
OS01T0121900-00	1	0	0.05	0.001	-5.64385619	1	1	no
OS01T0121950-00	2	0	0.07	0.001	-6.129283017	0.500024999	0.653216704	no
OS01T0122000-01	12	42	0.31	1.17	1.916168409	1.44E-05	6.11E-05	up
OS01T0122200-01	4	6	0.12	0.19	0.662965013	0.753967752	0.886551381	no
OS01T0122367-00	0	2	0.001	0.1	6.64385619	0.500024999	0.653216704	no
OS01T0122534-00	0	2	0.001	0.12	6.906890596	0.500024999	0.653216704	no
OS01T0123500-00	0	1	0.001	0.05	5.64385619	1	1	no
OS01T0123700-00	2	7	0.1	0.39	1.963474124	0.179785925	0.2982639	no
OS01T0123800-00	3	2	0.11	0.08	-0.459431619	1	1	no
OS01T0123900-01	1043	1020	57.76	61.38	0.087697904	0.292339152	0.436621541	no
OS01T0124000-01	427	428	21.76	23.68	0.121990524	0.315027882	0.464323236	no
OS01T0124100-01	1158	518	57.25	27.79	-1.042709859	2.81E-43	7.03E-42	down
OS01T0124200-02	15964	12634	661.88	567.6	-0.221695088	1.86E-18	2.11E-17	no
OS01T0124401-01	3172	1408	130.86	62.94	-1.055975092	1.20E-108	8.69E-107	down
OS01T0124550-00	0	1	0.001	0.02	4.321928095	1	1	no
OS01T0124600-00	3	0	0.32	0.001	-8.321928095	0.250037498	0.384983395	no
OS01T0124650-02	4561	7991	257.32	489.99	0.929188712	1.16E-168	1.52E-166	no
OS01T0124700-01	9	34	0.55	2.27	2.045188774	4.27E-05	0.000169731	up
OS01T0125000-00	0	1	0.001	0.05	5.64385619	1	1	no
OS01T0125500-00	1	2	0.06	0.12	1	1	1	no
OS01T0125550-01	1	4	0.03	0.13	2.115477217	0.375062492	0.533094757	no
OS01T0125600-01	616	752	16.87	22.25	0.399345362	1.47E-06	7.13E-06	no
OS01T0125700-01	115	132	3.82	4.74	0.311314421	0.11443713	0.207122253	no
OS01T0125800-01	256	487	4.29	8.79	1.034885518	1.50E-20	1.88E-19	up
OS01T0125850-00	1	5	0.02	0.11	2.459431619	0.218820305	0.35048049	no
OS01T0125900-01	429	358	4.31	3.87	-0.155354303	0.141383068	0.244126165	no
OS01T0126000-01	1	0	0.04	0.001	-5.321928095	1	1	no
OS01T0126100-01	19	16	0.33	0.3	-0.137503524	1	1	no
OS01T0126200-01	408	426	6.92	7.79	0.17085129	0.11074881	0.201122077	no
OS01T0126600-01	14	37	0.35	0.99	1.500073603	0.000630739	0.002066975	up
OS01T0126900-01	27	0	0.54	0.001	-9.076815597	3.03E-08	1.75E-07	down
OS01T0127000-01	6	1	0.14	0.03	-2.222392421	0.125065622	0.219498867	no
OS01T0127100-01	3	2	0.07	0.05	-0.485426827	1	1	no
OS01T0127300-01	616	552	14.23	13.76	-0.048455192	0.549985025	0.703182008	no
OS01T0127400-00	50	55	1.48	1.75	0.241757746	0.436318874	0.600910851	no
OS01T0127450-00	5	5	0.53	0.58	0.130060541	1	1	no
OS01T0127600-01	569	10	30.49	0.58	-5.71613944	4.51E-142	4.53E-140	down
OS01T0127700-01	299	148	3.31	1.77	-0.903081857	2.43E-10	1.69E-09	no
OS01T0127900-01	66	52	1.51	1.29	-0.227177484	0.408866904	0.570625836	no
OS01T0128000-01	26	49	0.65	1.33	1.032914622	0.003902685	0.010912057	up
OS01T0128100-01	323	148	3.68	1.82	-1.015767316	4.35E-13	3.68E-12	down
OS01T0128200-01	1604	681	51.6	23.69	-1.123092867	1.41E-64	5.38E-63	down
OS01T0128250-01	11	19	0.29	0.53	0.869939459	0.149928103	0.255969433	no
OS01T0128300-00	282	95	16.19	5.93	-1.448998976	1.63E-19	1.94E-18	down
OS01T0128400-01	1977	1651	33.04	29.75	-0.151324018	0.002913713	0.008385079	no
OS01T0128400-02	427	351	14.29	12.71	-0.169041886	0.097777179	0.181130095	no
OS01T0128700-01	30	26	1.3	1.22	-0.091630475	0.894001393	1	no
OS01T0128800-01	641	354	6.95	4.13	-0.750871196	4.84E-15	4.61E-14	no
OS01T0129500-02	176	186	2.91	3.31	0.185812064	0.252438866	0.388138976	no
OS01T0129550-01	1	0	0.03	0.001	-4.906890596	1	1	no
OS01T0129600-00	38	10	1.66	0.47	-1.82045058	0.00022598	0.000801346	down
OS01T0129800-01	0	7	0.001	0.97	9.921840937	0.01564141	0.037361826	up
OS01T0130000-01	1689	1010	42.37	27.36	-0.630974898	1.58E-26	2.46E-25	no
OS01T0130000-02	810	486	29.14	18.92	-0.623088789	6.12E-14	5.43E-13	no
OS01T0130100-01	5	3	0.29	0.19	-0.610053482	0.726617172	0.863273111	no
OS01T0130200-00	6	1	1.59	0.3	-2.40599236	0.125065622	0.219498867	no
OS01T0130400-01	1207	845	12.41	9.35	-0.408464845	1.23E-09	8.10E-09	no
OS01T0130500-01	9	8	0.17	0.17	0	1	1	no
OS01T0130900-01	312	124	18.75	8.11	-1.209116776	1.11E-16	1.16E-15	down
OS01T0131300-01	5529	4385	264.27	227.4	-0.216780405	9.06E-11	6.52E-10	no
OS01T0131450-00	73	90	1.67	2.23	0.417195607	0.085808638	0.162311129	no
OS01T0131600-01	1310	1098	341.35	323.3	-0.078378244	0.016447027	0.03907755	no
OS01T0131600-02	4318	3343	128.67	107.69	-0.256791433	9.47E-12	7.32E-11	no
OS01T0131800-01	254	232	17.67	17.58	-0.007366969	0.893058549	1	no
OS01T0132000-01	2190	1528	238.31	182.64	-0.383836727	1.22E-15	1.20E-14	no
OS01T0132050-01	2	1	0.02	0.01	-1	1	1	no
OS01T0132100-00	9	3	0.1	0.04	-1.321928095	0.146116928	0.250449199	no
OS01T0132200-01	26	17	1.32	0.93	-0.505235308	0.360895775	0.519072226	no
OS01T0132500-01	76	55	2.66	2.08	-0.354842717	0.189540414	0.311580212	no
OS01T0132700-01	117	68	7.41	4.69	-0.65988562	0.002526671	0.007352445	no
OS01T0132766-01	12	26	0.38	0.9	1.243925583	0.013941737	0.033812776	up
OS01T0132800-01	337	423	12.46	16.93	0.442277905	6.55E-05	0.000253504	no
OS01T0133100-01	55	19	1	0.37	-1.434402824	0.000145535	0.000531745	down
OS01T0133100-02	53	20	0.96	0.39	-1.299560282	0.000547159	0.001811856	down
OS01T0133200-01	29	40	1.47	2.2	0.581687369	0.14873084	0.254414651	no
OS01T0133400-01	347	357	6.69	7.42	0.149412976	0.194767807	0.319243928	no
OS01T0133500-01	49	135	0.99	2.95	1.575214524	1.16E-11	8.89E-11	up
OS01T0133500-02	49	120	1.12	2.96	1.402098444	3.91E-09	2.47E-08	up
OS01T0133600-00	1	0	0.03	0.001	-4.906890596	1	1	no
OS01T0133650-00	0	1	0.001	0.09	6.491853096	1	1	no
OS01T0133700-00	0	1	0.001	0.09	6.491853096	1	1	no
OS01T0133799-00	0	1	0.001	0.09	6.491853096	1	1	no
OS01T0133832-00	3	9	0.24	0.79	1.718818247	0.146116928	0.250449199	no
OS01T0133900-00	43	47	3.78	4.52	0.257936538	0.461801201	0.626640886	no
OS01T0134200-01	24	33	0.29	0.43	0.56828376	0.185476294	0.306055567	no
OS01T0134200-02	5	4	0.15	0.13	-0.206450877	1	1	no
OS01T0134500-01	461	690	15.4	24.93	0.694952532	1.08E-14	1.01E-13	no
OS01T0134700-01	2981	1104	73.56	29.42	-1.322124233	4.55E-150	5.02E-148	down
OS01T0134800-01	12	3	0.34	0.09	-1.91753784	0.035222917	0.075982517	no
OS01T0134900-01	543	284	10.33	5.83	-0.825272466	3.24E-15	3.11E-14	no
OS01T0135600-01	62	66	1.22	1.4	0.198545679	0.53757025	0.691672166	no
OS01T0135700-01	5085	2264	267.75	129.46	-1.048380166	7.29E-155	8.47E-153	down
OS01T0135800-01	1	3	0.06	0.2	1.736965594	0.625037495	0.773845008	no
OS01T0135900-01	4306	3106	248.86	195.15	-0.350750898	1.24E-20	1.55E-19	no
OS01T0135900-02	7573	5710	436.91	358.13	-0.286852751	7.83E-21	9.89E-20	no
OS01T0136000-00	3	5	0.24	0.44	0.874469118	0.726617172	0.863273111	no
OS01T0136100-01	13	63	0.78	4.09	2.390554814	6.34E-10	4.28E-09	up
OS01T0136200-01	47	61	3.16	4.47	0.500350273	0.102353996	0.188511482	no
OS01T0136300-01	72	69	5.03	5.25	0.061759023	0.866787029	0.983489438	no
OS01T0136400-01	215	153	3.35	2.57	-0.382392736	0.01292098	0.031621732	no
OS01T0136450-00	89	98	6.8	8.18	0.266566097	0.308182475	0.455692312	no
OS01T0136500-00	102	126	6.98	9.39	0.427898121	0.040968103	0.086547421	no
OS01T0136502-00	0	1	0.001	0.06	5.906890596	1	1	no
OS01T0136600-01	52	37	3.81	2.96	-0.364193822	0.241827387	0.380696731	no
OS01T0136700-01	60	26	0.5	0.23	-1.120294234	0.001041174	0.003273138	down
OS01T0136800-01	328	218	5.17	3.71	-0.478745094	0.000161245	0.00058491	no
OS01T0136850-00	4	4	0.08	0.09	0.169925001	1	1	no
OS01T0136900-00	40	38	1.01	1.03	0.028289044	1	1	no
OS01T0137125-00	1	2	0.02	0.05	1.321928095	1	1	no
OS01T0137200-00	12	5	0.78	0.35	-1.156119202	0.143633064	0.247149606	no
OS01T0137250-00	4	2	0.15	0.08	-0.906890596	0.687546866	0.829234845	no
OS01T0137282-00	24	2	1.52	0.14	-3.440572591	1.96E-05	8.20E-05	down
OS01T0137300-01	25	59	0.28	0.72	1.362570079	7.65E-05	0.000292633	up
OS01T0137400-00	8	13	0.16	0.28	0.807354922	0.383562455	0.54259078	no
OS01T0137500-01	0	4	0.001	0.04	5.321928095	0.125037499	0.219498867	no
OS01T0137550-01	1	0	0.07	0.001	-6.129283017	1	1	no
OS01T0137700-01	258	276	4.39	5.06	0.204916445	0.124452536	0.219498867	no
OS01T0137950-01	24	12	1.21	0.66	-0.874469118	0.132846084	0.231466769	no
OS01T0138100-01	2	0	0.09	0.001	-6.491853096	0.500024999	0.653216704	no
OS01T0138300-01	28	12	0.47	0.22	-1.095157233	0.038669498	0.082436876	no
OS01T0138300-02	30	21	0.52	0.39	-0.415037499	0.401664134	0.562626351	no
OS01T0138400-01	563	388	9.19	6.83	-0.428179283	8.45E-06	3.71E-05	no
OS01T0138451-00	1	1	0.1	0.11	0.137503524	1	1	no
OS01T0138500-01	1422	318	40.27	9.73	-2.049193762	7.71E-139	7.49E-137	down
OS01T0138600-01	10	14	0.24	0.36	0.584962501	0.541501489	0.695334474	no
OS01T0138800-01	108	100	2.74	2.74	0	1	1	no
OS01T0138900-01	2149	1518	49.32	37.61	-0.391056493	2.62E-14	2.39E-13	no
