id	R0_count	R3_count	R0_fpkm	R3_fpkm	log2FC	Pvalue	FDR	significant
OS11T0682000-01	6	8	0.08	0.11	0.459431619	0.790600623	0.918446051	no
OS11T0682300-01	431	462	5.54	6.39	0.205929955	0.042298267	0.088933615	no
OS11T0682501-00	2	9	0.07	0.36	2.362570079	0.065502201	0.128721934	no
OS11T0682600-01	0	3	0.001	0.03	4.906890596	0.250037498	0.384983395	no
OS11T0683500-01	129	181	1.67	2.53	0.599289282	0.000465949	0.001564014	no
OS11T0683500-02	205	332	2.47	4.32	0.806520271	5.82E-10	3.94E-09	no
OS11T0683600-00	625	271	41.72	19.7	-1.082543528	1.70E-26	2.65E-25	down
OS11T0683800-02	2	1	0.04	0.02	-1	1	1	no
OS11T0684000-01	834	300	24.2	9.41	-1.362740419	4.50E-48	1.25E-46	down
OS11T0684100-01	163	146	1.19	1.15	-0.049327712	0.777437643	0.907087084	no
OS11T0684100-02	155	155	1.28	1.38	0.108524457	0.535346596	0.689128883	no
OS11T0684400-00	0	4	0.001	0.06	5.906890596	0.125037499	0.219498867	no
OS11T0684700-01	409	224	4.55	2.68	-0.763633545	2.14E-10	1.49E-09	no
OS11T0685100-00	8	5	0.08	0.05	-0.678071905	0.581180318	0.735139783	no
OS11T0685600-00	7	1	0.25	0.04	-2.64385619	0.070367189	0.136685318	no
OS11T0686100-01	32	9	0.71	0.22	-1.690315501	0.00146635	0.004482022	down
OS11T0686400-00	269	305	3.32	4.05	0.286738666	0.021221442	0.048978676	no
OS11T0686450-00	1	2	0.02	0.04	1	1	1	no
OS11T0686500-01	962	776	9.02	7.83	-0.204115126	0.004587618	0.012595435	no
OS11T0686900-00	12	2	0.18	0.03	-2.584962501	0.012969461	0.031679897	down
OS11T0687100-01	324	52	5.14	0.89	-2.529891118	3.55E-44	9.07E-43	down
OS11T0687200-01	4	0	0.1	0.001	-6.64385619	0.125037499	0.219498867	no
OS11T0687200-02	121	8	2.09	0.15	-3.800468536	3.02E-25	4.49E-24	down
OS11T0687200-03	114	11	1.09	0.11	-3.308752706	3.85E-21	4.93E-20	down
OS11T0689100-01	63	44	0.59	0.45	-0.390789953	0.176794112	0.295221207	no
OS11T0689100-02	16	13	0.26	0.23	-0.176877762	0.850658524	0.969247181	no
OS11T0689400-00	4	4	0.51	0.56	0.13492958	1	1	no
OS11T0689500-01	2	4	0.04	0.09	1.169925001	0.687546866	0.829234845	no
OS11T0689650-00	4	13	0.07	0.26	1.893084796	0.049136186	0.101334036	no
OS11T0691050-00	0	4	0.001	0.07	6.129283017	0.125037499	0.219498867	no
OS11T0691100-00	22	7	0.91	0.31	-1.55359833	0.012601225	0.030973322	down
OS11T0691700-01	0	1	0.001	0.02	4.321928095	1	1	no
OS11T0692000-01	169	245	1.32	2.06	0.642106408	1.14E-05	4.89E-05	no
OS11T0692500-00	13	0	0.3	0.001	-8.22881869	0.000245094	0.000863766	down
OS11T0693800-01	429	252	10.52	6.68	-0.655214697	1.02E-08	6.16E-08	no
OS11T0693900-01	13	18	0.94	1.42	0.595158268	0.281415825	0.424666598	no
OS11T0694100-01	9	0	0.14	0.001	-7.129283017	0.003913285	0.010912057	down
OS11T0694150-01	0	1	0.001	0.01	3.321928095	1	1	no
OS11T0695000-01	1	8	0.02	0.2	3.321928095	0.039104693	0.083025045	no
OS11T0695400-01	9	19	0.07	0.16	1.192645078	0.061614922	0.123498041	no
OS11T0695800-01	24	7	0.24	0.08	-1.584962501	0.005255641	0.014240733	down
OS11T0695900-01	177	246	1.77	2.64	0.576788569	6.30E-05	0.000244329	no
OS11T0696200-01	1149	685	28.1	18.09	-0.635377722	3.33E-19	3.92E-18	no
OS11T0696400-00	7	4	0.1	0.06	-0.736965594	0.548940879	0.701998407	no
OS11T0696501-00	0	1	0.001	0.02	4.321928095	1	1	no
OS11T0700500-01	165	272	5.82	10.39	0.836104596	6.72E-09	4.14E-08	no
OS11T0700900-01	136	132	4.3	4.52	0.071986113	0.761654287	0.893507326	no
OS11T0700900-02	366	356	11.89	12.51	0.073333074	0.583428851	0.737671738	no
OS11T0701000-01	21	25	0.66	0.85	0.364996817	0.461908494	0.626640886	no
OS11T0701100-01	31	8	1.15	0.32	-1.845490051	0.000477614	0.001599432	down
OS11T0701100-02	18	1	0.8	0.05	-4	7.68E-05	0.000293305	down
OS11T0701200-01	2	9	0.08	0.38	2.247927513	0.065502201	0.128721934	no
OS11T0701400-01	0	3	0.001	0.13	7.022367813	0.250037498	0.384983395	no
OS11T0701500-01	73	17	3.19	0.8	-1.995484519	1.39E-08	8.29E-08	down
OS11T0701600-00	0	8	0.001	2.41	11.23481743	0.007823441	0.020244312	up
OS11T0701800-01	8	15	0.29	0.59	1.024662054	0.210302535	0.340285172	no
OS11T0701900-01	9	13	0.33	0.52	0.656045599	0.523698161	0.676171396	no
OS11T0702100-01	185	333	6.76	13.17	0.962160194	4.38E-13	3.71E-12	no
OS11T0702200-01	15	20	0.53	0.77	0.538866086	0.310929672	0.459110346	no
OS11T0702400-01	11	1	0.89	0.09	-3.30580843	0.006362167	0.016887799	down
OS11T0702501-00	1	0	0.03	0.001	-4.906890596	1	1	no
OS11T0702600-00	2	0	0.06	0.001	-5.906890596	0.500024999	0.653216704	no
OS11T0702700-01	71	100	1.43	2.17	0.601679896	0.009420064	0.023930594	no
OS11T0702700-02	82	85	1.69	1.89	0.161362988	0.537700845	0.691727607	no
OS11T0702900-01	0	4	0.001	0.2	7.64385619	0.125037499	0.219498867	no
OS11T0703000-01	2	1	0.11	0.06	-0.874469118	1	1	no
OS11T0703100-01	83	70	5.1	4.68	-0.123988717	0.629082193	0.777092022	no
OS11T0703400-01	363	248	15.93	11.8	-0.432959407	0.000233919	0.000827273	no
OS11T0703400-02	335	240	15.61	12.13	-0.363890987	0.002273589	0.006683654	no
OS11T0703600-01	219	97	6.26	2.99	-1.066017173	4.51E-10	3.08E-09	down
OS11T0703600-02	250	107	5.97	2.76	-1.113062664	6.19E-12	4.85E-11	down
OS11T0703600-03	162	71	4.83	2.29	-1.076675591	5.89E-08	3.32E-07	down
OS11T0703900-01	39299	72240	614.72	1218.11	0.986643091	0	0	no
OS11T0703900-02	1269	2219	156.01	300.52	0.945822501	8.08E-66	3.16E-64	no
OS11T0704000-00	40	46	2.3	2.88	0.32443495	0.392221247	0.551363937	no
OS11T0704100-00	0	1	0.001	0.01	3.321928095	1	1	no
OS11T0704300-01	21	9	0.46	0.21	-1.131244533	0.061614922	0.123498041	no
OS11T0704300-02	14	19	0.29	0.43	0.56828376	0.296606411	0.442020532	no
OS11T0704500-01	5330	3904	601.72	484.52	-0.312536092	2.89E-21	3.72E-20	no
OS11T0704550-01	63	51	1.62	1.42	-0.190102883	0.513455504	0.6653738	no
OS11T0704600-01	262	74	5.38	1.64	-1.713910358	1.47E-22	1.98E-21	down
OS11T0704600-02	218	66	5	1.64	-1.60823228	1.47E-17	1.60E-16	down
OS11T0704600-03	130	49	3.08	1.25	-1.301002256	1.89E-08	1.11E-07	down
OS11T0704700-01	356	527	7.83	12.52	0.67715035	3.19E-11	2.38E-10	no
OS11T0704800-01	160	64	4.56	1.97	-1.210838195	4.00E-09	2.52E-08	down
OS11T0705200-01	977	714	16.56	13.05	-0.343652866	2.52E-06	1.18E-05	no
OS11T0705900-01	24	19	0.42	0.36	-0.222392421	0.761042423	0.892811622	no
OS11T0706100-01	30	53	0.72	1.37	0.928107082	0.006143382	0.016396065	no
OS11T0706100-02	137	146	1.34	1.54	0.20069735	0.28799139	0.433087405	no
OS11T0706100-03	145	175	1.19	1.54	0.371968777	0.026608841	0.059684593	no
