gene_id	C1	C2	C3	M1	M2	M3
AT3G24500	87.811	70.5789	117.845	35.4004	25.341	41.0343
AT3G25050	0.908036	0.230513	0.968997	0.33233	0.141561	0.446124
AT3G25410	30.9567	29.2292	28.3366	9.12072	11.7074	9.59634
AT3G25690	31.0692	21.9974	33.1737	9.45757	13.1017	9.70263
AT3G25770	1.0121	1.28038	1.37467	0.481966	0.629481	0.470992
AT3G26040	1.58454	1.04355	1.22065	0.633753	0.614488	0.627022
AT3G26070	33.8088	33.0617	36.6405	13.3678	16.9862	18.8765
AT3G26180	4.16926	2.00657	4.88406	1.14826	1.92222	1.04474
AT3G26460	64.0421	38.2437	95.8652	125.01	181.616	127.232
AT3G26570	96.4633	87.8674	100.077	19.5837	20.3945	17.7527
AT3G26960	3.30656	3.91975	2.97556	0.796342	1.12563	1.31624
AT3G27690	433.263	220.261	425.716	28.5517	82.8667	25.0807
AT3G27884	10.4581	9.80733	11.3736	35.3844	29.8074	28.8643
AT3G27925	20.4453	16.2629	20.0438	6.87718	9.80878	9.43832
AT3G28070	4.07696	3.33962	3.45753	0.932107	1.70726	0.798039
AT3G28270	4.41252	2.18324	4.99406	0.277146	0.292485	0.392117
AT3G28320	0.397743	0.907347	0.400479	2.60342	2.32599	4.72919
AT3G28340	5.55119	7.74274	6.63697	14.5568	13.9342	13.2491
AT3G28420	0.450973	0.716879	0.646814	0.0697887	0.481664	0.390892
AT3G28930	4.43759	5.30766	5.53259	12.7303	10.5574	16.6398
AT3G29250	46.6365	32.5982	50.149	141.211	187.177	125.723
AT3G29370	18.2522	12.5616	17.7322	28.0276	38.0962	31.619
AT3G29570	0.321865	0.245014	0.527841	1.28154	0.915525	0.736319
AT3G30200	0.765175	0.679253	0.721646	0.281707	0.186333	0.205846
AT3G30460	5.32638	6.80746	4.11665	0.510642	0.502669	0.652515
AT3G30580	1.13799	1.24947	2.81955	5.22427	4.65723	4.16122
AT3G30700	0.562027	0.197316	0.496889	1.21483	1.61742	1.21882
AT3G33000	20.9975	17.5051	21.6381	11.186	3.44304	3.14324
AT3G41979	563.172	606.528	535.682	1640.77	1261.6	1199.43
AT3G42658	0.291971	0.595404	0.638766	17.1334	24.4497	18.3526
AT3G43600	17.0882	22.118	17.6091	7.88903	7.93459	10.3548
AT3G43833	0.582161	0.796982	0.696029	2.5656	4.13553	3.52904
AT3G43930	0.457145	0.742777	0.407725	1.01974	0.799424	1.44483
AT3G44020	16.7399	11.0503	16.7709	3.65505	5.41414	4.4423
AT3G44200	30.6978	33.4801	31.5027	15.5173	15.0763	16.0105
AT3G44380	9.30896	8.61181	8.9029	4.12794	4.53041	3.392
AT3G44450	1.89721	1.94147	2.35966	0.321396	0.416368	0.110787
AT3G44970	0.801728	0.460395	1.10177	0.165186	0.529279	0.378061
AT3G45070	1.14597	0.390407	1.67939	2.53445	2.486	2.67427
AT3G45638	0.383013	0.0647254	0.0591577	0.418222	0.913798	1.02788
AT3G46170	0.604286	0.348154	0.670824	1.14029	1.49997	0.542575
AT3G46670	6.48779	4.38613	4.92141	1.45948	2.25871	1.8076
AT3G46700	5.69978	2.04831	8.31037	12.8449	18.3494	11.4797
AT3G46780	78.3412	48.6117	86.9373	18.2001	26.4866	17.0973
AT3G46900	8.95398	11.716	8.58662	21.8099	12.5825	24.2741
AT3G47070	125.503	96.0012	127.731	28.8104	50.318	34.736
AT3G47220	5.75259	8.31635	6.00975	1.64022	1.34601	2.11715
AT3G47340	28.2455	9.67074	20.7683	41.2056	43.9793	38.7105
AT3G47430	15.705	11.0965	16.3054	2.86865	3.83121	2.65284
AT3G47470	886.64	520.383	888.333	156.121	271.059	146.136
AT3G47790	0.313039	0.215327	0.352752	0.762484	0.770425	0.395686
AT3G47960	38.0651	43.3824	41.5767	19.9635	21.4869	18.8404
AT3G48100	8.79021	9.51303	10.0359	18.7117	20.1732	21.4784
AT3G48200	12.8212	9.86484	13.4902	3.00862	4.87179	3.48685
AT3G48280	0.251943	0.194615	0.419301	0.731793	0.669037	0.4046
AT3G48320	6.00002	3.87882	5.68823	0.947341	1.32848	0.684874
AT3G48350	67.2893	46.6454	81.2082	31.245	47.3835	20.6423
AT3G48390	2.28583	1.14849	2.16425	4.34018	5.52395	3.2261
AT3G48420	27.1114	17.5158	29.1366	7.07821	10.4357	8.86732
AT3G48510	2.70569	1.32227	1.43779	5.00757	6.73049	3.90639
AT3G48720	6.49178	4.32919	7.23866	2.12256	3.60954	2.14958
AT3G48870	64.1612	65.4616	69.5173	30.323	32.6174	33.0433
AT3G49360	6.55014	7.07865	5.89208	28.2662	35.1292	32.9788
AT3G49470	45.848	43.4119	51.0418	18.2801	26.5084	25.5964
AT3G49620	1.10002	0.670989	1.1954	1.96256	2.31444	2.40026
AT3G49700	0.592555	1.214	0.340342	2.7708	1.96737	5.02318
AT3G49760	3.41659	2.69467	3.2021	0.718883	0.869098	0.974491
AT3G50120	2.12098	2.00404	2.33009	4.16151	3.98218	4.14265
AT3G50270	4.88048	4.77977	5.55164	1.85508	1.45363	1.50137
AT3G50400	28.1451	0.876601	39.2009	6.11882	17.8441	2.43542
AT3G50710	0.179169	0.253709	0.162323	0.578137	0.496474	0.716539
AT3G50820	261.241	170.137	268.752	42.9844	58.6976	47.1474
AT3G50970	227.038	85.1346	255.688	73.1634	96.0498	43.0277
AT3G51240	55.0579	70.5385	49.6665	3.47717	7.09251	5.85485
AT3G51410	2.12329	2.84831	2.07031	4.51133	6.13708	6.17746
AT3G51750	7.57196	3.43106	7.9362	1.24705	4.06888	0.987259
AT3G51870	11.6615	14.2195	12.0073	4.91095	5.81058	6.80614
AT3G52180	4.48024	5.56268	4.84784	7.07703	9.54022	10.6663
AT3G52340	21.2101	16.4116	21.3827	9.16713	11.9651	10.3226
AT3G52740	12.6607	13.0166	10.4906	0.352408	0.374878	0.319741
AT3G52748	2.99031	4.62968	2.50088	4.32301	6.94459	6.24605
AT3G53170	0.897909	0.739999	0.918363	0.256404	0.316099	0.618253
AT3G53232	1.93195	0.274278	1.064	2.93086	4.55156	2.5914
AT3G53830	2.47785	1.88279	2.09987	1.05976	0.884294	0.675565
AT3G53840	0.149416	0.310479	0.426596	0.622955	0.617437	0.666727
AT3G53920	9.11432	8.13848	10.1795	3.31813	3.95371	3.67791
AT3G54050	74.6848	49.7102	74.8138	25.0048	33.2707	26.4489
AT3G54830	21.5561	21.6702	20.6536	65.5323	62.301	58.2088
AT3G54890	844.673	529.484	868.302	79.2619	114.056	59.4044
AT3G54990	24.4747	27.4656	28.49	9.80267	9.23756	8.92837
AT3G55110	0.815973	0.472675	0.668143	0.0694314	0.10459	0.180678
AT3G55120	39.4608	45.6724	35.8482	11.3599	23.973	10.8149
AT3G55130	23.5144	16.5128	19.7563	7.34634	11.3791	7.44148
AT3G55485	0.559518	0.440152	0.519429	1.50628	2.554	2.30422
AT3G55630	11.3274	7.53175	10.5458	2.5407	3.63056	3.59525
AT3G55710	1.58325	1.08831	2.01776	0.680917	0.639873	0.559934
AT3G56040	16.811	14.4636	17.9794	6.71238	6.78213	6.35477
AT3G56290	46.3251	51.0465	57.4637	2.60409	3.73204	2.22137
AT3G56350	1.19518	1.00124	0.990176	2.139	2.14393	2.74039
AT3G56705	0.946706	2.53783	1.08419	2.82064	4.60287	3.0578
AT3G56825	1.42062	2.24603	1.1692	2.53178	6.82435	2.57924
AT3G56940	472.38	369.955	489.312	106.237	146.669	111.168
AT3G57020	20.9138	16.453	24.7777	3.49162	3.91731	2.4665
AT3G57130	0.222189	1.00919	0.615729	0.426283	0.0801959	0.127972
AT3G57180	5.42081	5.58047	5.44344	2.23118	3.37215	2.96588
AT3G57190	4.84339	5.40409	5.33516	1.4081	1.74642	1.47136
AT3G57765	0.854363	0.994658	0.615494	0.874524	7.38814	0.386922
AT3G57830	4.61306	4.4855	4.39083	1.7082	1.93587	1.6195
AT3G57920	1.19806	1.92202	1.7065	0.227547	0.508967	0.687092
AT3G58070	0.653905	1.3029	1.21798	0.469406	0.0632079	0.196708
AT3G58450	0.58458	0.405622	0.909673	0.831772	2.79042	0.962693
AT3G58550	6.84051	5.55584	9.45902	12.5231	16.6714	12.4736
AT3G59060	18.0556	13.4959	20.2914	8.49014	9.19027	6.58252
AT3G59330	1.40968	0.765134	1.20206	2.68212	2.6083	2.15032
AT3G59400	121.395	96.6332	119.569	16.3049	22.5302	14.3839
AT3G59780	34.582	27.0948	35.2233	10.5171	16.0667	12.3745
AT3G61210	1.70932	1.07717	1.32658	0.678605	0.717317	0.541632
AT3G61220	4.73203	5.35371	5.7857	0.343268	0.403039	0.456587
AT3G61470	420.541	265.534	419.898	125.298	203.332	118.415
AT3G61490	58.3785	49.1897	55.8645	20.966	19.8227	22.3634
AT3G61750	16.3257	17.4397	17.2045	5.29281	5.13405	5.88503
AT3G61870	87.2096	69.3326	80.5503	33.7527	47.3965	34.0056
AT3G61920	1.89238	2.0441	1.61275	0.947975	0.325514	0.395149
AT3G62410	62.8676	42.1052	66.6087	7.62716	10.4867	7.9183
AT3G62740	0.722843	0.430575	0.713201	0.138972	0.281838	0.218201
AT3G62990	2.66248	0	4.24616	1.13498	1.78545	0.941426
AT3G63360	11.3861	16.2727	17.1182	35.2514	28.3994	37.7711
AT3G66656	2.76905	1.1732	2.67409	1.68478	0.741213	1.0689
AT4G00050	10.2606	11.8772	12.0695	2.61461	2.00276	2.43981
AT4G00370	51.3724	47.511	49.1749	18.6094	23.0375	19.6038
AT4G00480	3.61885	4.0216	4.01519	1.7876	1.42282	1.75962
AT4G01050	122.797	96.0365	126.741	42.7604	64.4301	53.9221
AT4G01130	0.773486	0.578148	0.699552	1.48947	1.35113	1.4773
AT4G01270	2.61619	3.11935	2.89161	1.08409	0.729468	1.48117
AT4G01515	0.296681	0.277175	0.293719	0.58484	0.831145	0.772119
AT4G01660	12.3856	17.4437	12.4766	6.04278	5.38281	6.92982
AT4G01883	6.46706	7.48553	8.7743	2.46554	2.90767	3.70435
AT4G01975	2.31018	3.20672	2.9266	0.869632	1.05123	1.03864
AT4G02530	85.5628	68.4375	89.9935	31.1869	42.3383	45.1781
AT4G02770	675.059	464.379	653.189	193.452	268.024	182.306
AT4G03280	247.429	176.843	257.921	92.349	118.841	97.5944
AT4G04350	11.2682	11.028	11.7333	4.85786	6.12342	6.68684
AT4G04630	1.01373	1.34184	1.42339	1.74386	2.96203	3.25964
AT4G04640	220.798	173.259	233.974	71.1359	103.181	81.1065
AT4G04750	2.25641	1.02209	1.7817	0.244177	0.636719	0.242287
AT4G04840	28.1118	27.4505	32.6209	0.641968	1.42458	0.414294
AT4G04850	17.8221	15.184	19.305	1.63274	2.20466	1.81823
AT4G05180	150.915	81.4366	163.295	25.5729	45.0243	32.8548
AT4G06477	0.203774	0.237445	0.214086	0.755139	2.64678	0.742804
AT4G06746	1.93724	1.46927	1.08744	0.563687	0.229947	0.83792
AT4G08620	0.808546	1.73687	0.530924	1.72954	1.72479	2.99743
AT4G08950	62.4832	64.9367	70.5787	120.068	121.334	124.737
AT4G09010	47.6056	31.7197	50.9756	18.1716	26.3037	19.3683
AT4G09350	8.24458	5.73917	8.80826	1.14547	1.65523	1.72073
AT4G09530	4.4482	2.77198	6.04538	10.4969	8.90076	13.0688
AT4G09600	3.05652	1.231	3.73991	4.48113	9.2637	2.74744
AT4G09650	346.349	273.506	374.352	89.0534	126.747	95.3871
AT4G09750	14.3707	16.1523	15.4711	4.57897	5.9898	4.68804
AT4G10020	1.73143	2.18273	1.49314	4.72419	5.45696	4.12622
AT4G10040	58.2339	81.0471	62.2713	32.1328	33.8042	38.2961
AT4G10120	2.92683	1.98982	3.16042	0.768856	0.844586	0.591083
AT4G10150	1.67849	1.27672	1.82319	7.3755	4.74815	5.53628
AT4G10160	1.01177	1.13035	0.967301	3.67224	1.57965	1.60487
AT4G10240	4.00714	10.3919	3.85306	33.0695	37.6776	60.8496
AT4G10250	1.21434	2.16233	1.3684	3.82271	4.20917	6.71362
